Player,KD Diff,ADR,KAST,Rating,Team,Kills,Deaths,Rating 2.0,KPR,HS,Maps Played_x,DPR,Rounds Contributed,Rounds played,Total kills,Total deaths,Assists / round,KD ratio,Deaths / round,Damage / round,Saved by teammate / round,Grenade dmg / round,Saved teammate / round,Maps Played_y,Rating 1.0,Result
mantuu,7.0,72.4,87.5%,1.35,OG,18,11,                          1.06,                          0.67,                          25.8%,                          60,                          0.61,                          71.9%,14925,20196,12476.0,0.1,1.2,0.62,75.8,0.09,3.3,0.12,751.0,1.15,1
valde,0.0,65.0,75.0%,1.1,OG,15,15,                          1.12,                          0.70,                          52.6%,                          25,                          0.67,                          75.0%,25611,35085,22745.0,0.14,1.13,0.65,79.6,0.1,5.1,0.1,1319.0,1.08,1
flameZ,-2.0,58.0,70.8%,0.93,OG,12,14,                          1.07,                          0.65,                          45.8%,                          36,                          0.62,                          73.1%,11287,15940,10623.0,0.14,1.06,0.67,78.7,0.11,5.9,0.11,596.0,1.12,1
electroNic,-2.0,90.3,71.4%,1.09,Natus Vincere,21,23,                          1.04,                          0.66,                          47.1%,                          41,                          0.71,                          70.9%,28788,38959,25716.0,0.14,1.12,0.66,82.4,0.09,4.6,0.1,1472.0,1.08,0
Perfecto,-3.0,81.4,75.0%,0.96,Natus Vincere,16,19,                          1.08,                          0.66,                          42.3%,                          41,                          0.60,                          75.3%,14575,23258,14015.0,0.13,1.04,0.6,70.2,0.09,4.8,0.09,876.0,1.04,0
b1t,0.0,75.0,53.6%,0.94,Natus Vincere,19,19,                          1.09,                          0.68,                          61.9%,                          40,                          0.62,                          72.1%,11558,16631,10472.0,0.11,1.1,0.63,75.2,0.09,4.2,0.1,625.0,1.11,0
s1mple,-5.0,51.4,64.3%,0.83,Natus Vincere,16,21,                          1.16,                          0.75,                          40.4%,                          40,                          0.61,                          72.3%,38676,45687,28996.0,0.1,1.33,0.63,85.4,0.08,2.5,0.11,1724.0,1.24,0
Boombl4,-10.0,41.0,50.0%,0.56,Natus Vincere,11,21,                          1.07,                          0.67,                          38.2%,                          59,                          0.68,                          71.2%,22092,33350,22777.0,0.14,0.97,0.68,75.6,0.09,4.8,0.08,1253.0,1.04,0
brnz4n,4.0,112.0,82.1%,1.56,MIBR,24,20,                          1.03,                          0.65,                          55.1%,                          56,                          0.67,                          69.3%,7135,10180,6738.0,0.13,1.06,0.66,76.6,0.12,5.0,0.1,382.0,1.11,1
exit,11.0,83.3,75.0%,1.34,MIBR,24,13,                          1.06,                          0.64,                          48.3%,                          56,                          0.59,                          74.6%,18543,26798,15707.0,0.13,1.18,0.59,75.7,0.09,5.6,0.12,1029.0,1.12,1
Tuurtle,8.0,83.7,78.6%,1.3,MIBR,23,15,                          1.05,                          0.67,                          60.0%,                          52,                          0.68,                          69.6%,18961,27432,18282.0,0.14,1.04,0.67,76.0,0.11,3.0,0.11,1039.0,1.08,1
JOTA,2.0,63.3,78.6%,1.08,MIBR,19,17,                          1.06,                          0.65,                          52.3%,                          17,                          0.63,                          74.7%,11922,16534,10374.0,0.15,1.15,0.63,81.1,0.09,6.2,0.1,632.0,1.15,1
WOOD7,-5.0,44.8,64.3%,0.81,MIBR,13,18,                          1.09,                          0.67,                          23.0%,                          52,                          0.60,                          72.2%,12689,20084,12439.0,0.12,1.02,0.62,69.5,0.08,5.8,0.07,765.0,1.03,1
huNter-,2.0,85.0,65.9%,1.16,G2,30,28,                          1.11,                          0.72,                          49.2%,                          52,                          0.66,                          72.6%,33273,43342,28744.0,0.14,1.16,0.66,84.0,0.1,5.6,0.11,1641.0,1.12,1
NiKo,4.0,77.8,73.2%,1.1,G2,27,23,                          1.23,                          0.77,                          55.8%,                          52,                          0.61,                          74.2%,37918,47832,31775.0,0.13,1.19,0.66,85.8,0.08,4.7,0.1,1799.0,1.15,1
m0NESY,1.0,66.7,63.4%,0.92,G2,26,25,                          1.16,                          0.74,                          39.0%,                          52,                          0.60,                          71.4%,8866,11467,6829.0,0.09,1.3,0.6,78.6,0.09,2.7,0.1,437.0,1.22,1
JACKZ,-2.0,63.0,68.3%,0.91,G2,25,27,                          0.97,                          0.60,                          63.1%,                          25,                          0.66,                          69.3%,21316,32172,21661.0,0.13,0.98,0.67,73.0,0.1,3.3,0.1,1208.0,0.98,1
Aleksib,-5.0,66.1,61.0%,0.89,G2,23,28,                          0.97,                          0.56,                          41.6%,                          40,                          0.63,                          70.5%,20062,31824,20758.0,0.16,0.97,0.65,73.4,0.11,8.3,0.09,1198.0,0.95,1
hampus,0.0,91.1,70.7%,1.16,Ninjas in Pyjamas,29,29,                          0.96,                          0.60,                          38.9%,                          37,                          0.68,                          66.3%,27075,38829,26951.0,0.15,1.0,0.69,79.5,0.08,4.4,0.08,1457.0,1.01,0
es3tag,2.0,71.8,73.2%,1.12,Ninjas in Pyjamas,29,27,0,0,0,0,0,0,24633,36090,23816.0,0.15,1.03,0.66,75.9,0.1,5.1,0.1,1378.0,1.01,0
phzy,5.0,64.8,78.0%,1.07,Ninjas in Pyjamas,29,24,                          1.37,                          0.84,                          39.1%,                          3,                          0.53,                          72.7%,11988,17572,10891.0,0.1,1.1,0.62,71.9,0.08,3.0,0.09,651.0,1.07,0
REZ,-3.0,67.5,65.9%,0.91,Ninjas in Pyjamas,24,27,                          0.98,                          0.61,                          50.2%,                          37,                          0.62,                          70.6%,28241,40534,26790.0,0.14,1.05,0.66,77.3,0.1,3.9,0.1,1535.0,1.03,0
Plopski,-5.0,54.8,68.3%,0.87,Ninjas in Pyjamas,20,25,                          1.18,                          0.73,                          45.9%,                          6,                          0.62,                          71.9%,21405,31222,20633.0,0.14,1.04,0.66,76.2,0.1,5.0,0.11,1173.0,1.07,0
Plopski,7.0,82.8,76.0%,1.3,Ninjas in Pyjamas,21,14,                          1.18,                          0.73,                          45.9%,                          6,                          0.62,                          71.9%,21405,31222,20633.0,0.14,1.04,0.66,76.2,0.1,5.0,0.11,1173.0,1.07,1
hampus,3.0,89.0,68.0%,1.26,Ninjas in Pyjamas,21,18,                          0.96,                          0.60,                          38.9%,                          37,                          0.68,                          66.3%,27075,38829,26951.0,0.15,1.0,0.69,79.5,0.08,4.4,0.08,1457.0,1.01,1
phzy,6.0,78.0,68.0%,1.22,Ninjas in Pyjamas,20,14,                          1.37,                          0.84,                          39.1%,                          3,                          0.53,                          72.7%,11988,17572,10891.0,0.1,1.1,0.62,71.9,0.08,3.0,0.09,651.0,1.07,1
REZ,-3.0,49.9,72.0%,0.91,Ninjas in Pyjamas,11,14,                          0.98,                          0.61,                          50.2%,                          37,                          0.62,                          70.6%,28241,40534,26790.0,0.14,1.05,0.66,77.3,0.1,3.9,0.1,1535.0,1.03,1
es3tag,-7.0,60.2,68.0%,0.84,Ninjas in Pyjamas,11,18,0,0,0,0,0,0,24633,36090,23816.0,0.15,1.03,0.66,75.9,0.1,5.1,0.1,1378.0,1.01,1
tabseN,3.0,91.9,88.0%,1.3,BIG,19,16,                          1.05,                          0.67,                          52.2%,                          64,                          0.71,                          68.7%,42476,58675,41100.0,0.16,1.03,0.7,84.0,0.09,8.4,0.09,2210.0,1.04,0
faveN,0.0,68.3,72.0%,1.04,BIG,17,17,                          1.12,                          0.70,                          50.4%,                          6,                          0.65,                          76.7%,29548,40397,26331.0,0.12,1.12,0.65,78.0,0.1,3.3,0.12,1509.0,1.12,0
tiziaN,-4.0,78.8,64.0%,0.92,BIG,14,18,                          0.99,                          0.64,                          53.5%,                          47,                          0.71,                          68.6%,31140,48802,32195.0,0.13,0.97,0.66,71.2,0.09,4.7,0.09,1843.0,0.95,0
k1to,-2.0,71.4,52.0%,0.86,BIG,16,18,                          0.97,                          0.63,                          62.7%,                          62,                          0.69,                          67.7%,27602,40814,28268.0,0.12,0.98,0.69,74.3,0.1,4.7,0.09,1528.0,1.03,0
syrsoN,-3.0,42.0,60.0%,0.76,BIG,12,15,                          1.12,                          0.74,                          23.0%,                          35,                          0.64,                          69.7%,35640,48825,30707.0,0.09,1.16,0.63,74.2,0.08,2.5,0.09,1834.0,1.09,0
Grim,4.0,85.0,76.9%,1.22,Complexity,22,18,                          1.08,                          0.67,                          48.8%,                          44,                          0.64,                          71.9%,20668,28778,19700.0,0.13,1.05,0.68,78.3,0.12,3.7,0.13,1095.0,1.1,0
junior,-2.0,64.3,61.5%,0.87,Complexity,16,18,                          1.17,                          0.74,                          28.0%,                          66,                          0.57,                          74.5%,12299,17107,10038.0,0.08,1.23,0.59,72.3,0.08,2.4,0.09,654.0,1.13,0
floppy,-7.0,62.5,76.9%,0.86,Complexity,14,21,                          1.10,                          0.68,                          49.1%,                          44,                          0.62,                          73.6%,19131,26590,17430.0,0.14,1.1,0.66,79.5,0.11,3.1,0.13,1013.0,1.13,0
FaNg,-6.0,67.4,50.0%,0.76,Complexity,13,19,0,0,0,0,0,0,14604,20939,14155.0,0.12,1.03,0.68,75.5,0.11,3.8,0.1,801.0,1.07,0
JT,-7.0,55.2,73.1%,0.75,Complexity,13,20,                          0.95,                          0.56,                          52.8%,                          44,                          0.65,                          70.5%,20570,32773,22144.0,0.14,0.93,0.68,71.1,0.12,4.7,0.11,1261.0,1.01,0
tiziaN,7.0,87.6,73.1%,1.41,BIG,21,14,                          0.99,                          0.64,                          53.5%,                          47,                          0.71,                          68.6%,31140,48802,32195.0,0.13,0.97,0.66,71.2,0.09,4.7,0.09,1843.0,0.95,1
syrsoN,4.0,76.9,76.9%,1.26,BIG,19,15,                          1.12,                          0.74,                          23.0%,                          35,                          0.64,                          69.7%,35640,48825,30707.0,0.09,1.16,0.63,74.2,0.08,2.5,0.09,1834.0,1.09,1
tabseN,1.0,96.8,73.1%,1.22,BIG,19,18,                          1.05,                          0.67,                          52.2%,                          64,                          0.71,                          68.7%,42476,58675,41100.0,0.16,1.03,0.7,84.0,0.09,8.4,0.09,2210.0,1.04,1
faveN,5.0,62.0,80.8%,1.15,BIG,20,15,                          1.12,                          0.70,                          50.4%,                          6,                          0.65,                          76.7%,29548,40397,26331.0,0.12,1.12,0.65,78.0,0.1,3.3,0.12,1509.0,1.12,1
k1to,1.0,64.1,69.2%,1.05,BIG,17,16,                          0.97,                          0.63,                          62.7%,                          62,                          0.69,                          67.7%,27602,40814,28268.0,0.12,0.98,0.69,74.3,0.1,4.7,0.09,1528.0,1.03,1
Aleksib,8.0,83.1,90.9%,1.5,G2,15,7,                          0.97,                          0.56,                          41.6%,                          40,                          0.63,                          70.5%,20062,31824,20758.0,0.16,0.97,0.65,73.4,0.11,8.3,0.09,1198.0,0.95,1
m0NESY,9.0,69.8,100.0%,1.44,G2,18,9,                          1.16,                          0.74,                          39.0%,                          52,                          0.60,                          71.4%,8866,11467,6829.0,0.09,1.3,0.6,78.6,0.09,2.7,0.1,437.0,1.22,1
huNter-,7.0,94.3,90.9%,1.43,G2,14,7,                          1.11,                          0.72,                          49.2%,                          52,                          0.66,                          72.6%,33273,43342,28744.0,0.14,1.16,0.66,84.0,0.1,5.6,0.11,1641.0,1.12,1
JACKZ,13.0,87.5,68.2%,1.43,G2,23,10,                          0.97,                          0.60,                          63.1%,                          25,                          0.66,                          69.3%,21316,32172,21661.0,0.13,0.98,0.67,73.0,0.1,3.3,0.1,1208.0,0.98,1
NiKo,5.0,81.3,86.4%,1.29,G2,15,10,                          1.23,                          0.77,                          55.8%,                          52,                          0.61,                          74.2%,37918,47832,31775.0,0.13,1.19,0.66,85.8,0.08,4.7,0.1,1799.0,1.15,1
hampus,0.0,83.9,63.6%,1.07,Ninjas in Pyjamas,15,15,                          0.96,                          0.60,                          38.9%,                          37,                          0.68,                          66.3%,27075,38829,26951.0,0.15,1.0,0.69,79.5,0.08,4.4,0.08,1457.0,1.01,0
REZ,-7.0,56.8,59.1%,0.71,Ninjas in Pyjamas,11,18,                          0.98,                          0.61,                          50.2%,                          37,                          0.62,                          70.6%,28241,40534,26790.0,0.14,1.05,0.66,77.3,0.1,3.9,0.1,1535.0,1.03,0
es3tag,-14.0,48.4,54.5%,0.53,Ninjas in Pyjamas,5,19,0,0,0,0,0,0,24633,36090,23816.0,0.15,1.03,0.66,75.9,0.1,5.1,0.1,1378.0,1.01,0
Plopski,-11.0,43.0,50.0%,0.44,Ninjas in Pyjamas,5,16,                          1.18,                          0.73,                          45.9%,                          6,                          0.62,                          71.9%,21405,31222,20633.0,0.14,1.04,0.66,76.2,0.1,5.0,0.11,1173.0,1.07,0
phzy,-11.0,32.6,54.5%,0.42,Ninjas in Pyjamas,6,17,                          1.37,                          0.84,                          39.1%,                          3,                          0.53,                          72.7%,11988,17572,10891.0,0.1,1.1,0.62,71.9,0.08,3.0,0.09,651.0,1.07,0
hampus,10.0,100.2,78.6%,1.44,Ninjas in Pyjamas,28,18,                          0.96,                          0.60,                          38.9%,                          37,                          0.68,                          66.3%,27075,38829,26951.0,0.15,1.0,0.69,79.5,0.08,4.4,0.08,1457.0,1.01,1
REZ,1.0,99.7,71.4%,1.21,Ninjas in Pyjamas,20,19,                          0.98,                          0.61,                          50.2%,                          37,                          0.62,                          70.6%,28241,40534,26790.0,0.14,1.05,0.66,77.3,0.1,3.9,0.1,1535.0,1.03,1
es3tag,0.0,71.0,85.7%,1.16,Ninjas in Pyjamas,17,17,0,0,0,0,0,0,24633,36090,23816.0,0.15,1.03,0.66,75.9,0.1,5.1,0.1,1378.0,1.01,1
Plopski,0.0,68.7,82.1%,1.12,Ninjas in Pyjamas,17,17,                          1.18,                          0.73,                          45.9%,                          6,                          0.62,                          71.9%,21405,31222,20633.0,0.14,1.04,0.66,76.2,0.1,5.0,0.11,1173.0,1.07,1
phzy,-4.0,52.1,67.9%,0.91,Ninjas in Pyjamas,14,18,                          1.37,                          0.84,                          39.1%,                          3,                          0.53,                          72.7%,11988,17572,10891.0,0.1,1.1,0.62,71.9,0.08,3.0,0.09,651.0,1.07,1
syrsoN,10.0,85.9,85.7%,1.42,BIG,25,15,                          1.12,                          0.74,                          23.0%,                          35,                          0.64,                          69.7%,35640,48825,30707.0,0.09,1.16,0.63,74.2,0.08,2.5,0.09,1834.0,1.09,0
faveN,0.0,77.8,71.4%,1.09,BIG,19,19,                          1.12,                          0.70,                          50.4%,                          6,                          0.65,                          76.7%,29548,40397,26331.0,0.12,1.12,0.65,78.0,0.1,3.3,0.12,1509.0,1.12,0
k1to,-2.0,60.4,60.7%,0.88,BIG,18,20,                          0.97,                          0.63,                          62.7%,                          62,                          0.69,                          67.7%,27602,40814,28268.0,0.12,0.98,0.69,74.3,0.1,4.7,0.09,1528.0,1.03,0
tabseN,-6.0,65.7,60.7%,0.79,BIG,15,21,                          1.05,                          0.67,                          52.2%,                          64,                          0.71,                          68.7%,42476,58675,41100.0,0.16,1.03,0.7,84.0,0.09,8.4,0.09,2210.0,1.04,0
tiziaN,-10.0,59.4,60.7%,0.78,BIG,12,22,                          0.99,                          0.64,                          53.5%,                          47,                          0.71,                          68.6%,31140,48802,32195.0,0.13,0.97,0.66,71.2,0.09,4.7,0.09,1843.0,0.95,0
NiKo,15.0,123.9,64.3%,1.73,G2,32,17,                          1.23,                          0.77,                          55.8%,                          52,                          0.61,                          74.2%,37918,47832,31775.0,0.13,1.19,0.66,85.8,0.08,4.7,0.1,1799.0,1.15,1
Aleksib,6.0,84.3,85.7%,1.37,G2,21,15,                          0.97,                          0.56,                          41.6%,                          40,                          0.63,                          70.5%,20062,31824,20758.0,0.16,0.97,0.65,73.4,0.11,8.3,0.09,1198.0,0.95,1
JACKZ,4.0,74.5,89.3%,1.22,G2,18,14,                          0.97,                          0.60,                          63.1%,                          25,                          0.66,                          69.3%,21316,32172,21661.0,0.13,0.98,0.67,73.0,0.1,3.3,0.1,1208.0,0.98,1
m0NESY,3.0,60.8,82.1%,1.18,G2,19,16,                          1.16,                          0.74,                          39.0%,                          52,                          0.60,                          71.4%,8866,11467,6829.0,0.09,1.3,0.6,78.6,0.09,2.7,0.1,437.0,1.22,1
huNter-,2.0,51.8,85.7%,1.06,G2,14,12,                          1.11,                          0.72,                          49.2%,                          52,                          0.66,                          72.6%,33273,43342,28744.0,0.14,1.16,0.66,84.0,0.1,5.6,0.11,1641.0,1.12,1
JT,-2.0,66.2,64.3%,1.02,Complexity,17,19,                          0.95,                          0.56,                          52.8%,                          44,                          0.65,                          70.5%,20570,32773,22144.0,0.14,0.93,0.68,71.1,0.12,4.7,0.11,1261.0,1.01,0
floppy,0.0,68.1,67.9%,0.9,Complexity,20,20,                          1.10,                          0.68,                          49.1%,                          44,                          0.62,                          73.6%,19131,26590,17430.0,0.14,1.1,0.66,79.5,0.11,3.1,0.13,1013.0,1.13,0
Grim,-7.0,67.4,50.0%,0.8,Complexity,16,23,                          1.08,                          0.67,                          48.8%,                          44,                          0.64,                          71.9%,20668,28778,19700.0,0.13,1.05,0.68,78.3,0.12,3.7,0.13,1095.0,1.1,0
FaNg,-8.0,60.5,64.3%,0.77,Complexity,13,21,0,0,0,0,0,0,14604,20939,14155.0,0.12,1.03,0.68,75.5,0.11,3.8,0.1,801.0,1.07,0
junior,-13.0,30.8,39.3%,0.41,Complexity,8,21,                          1.17,                          0.74,                          28.0%,                          66,                          0.57,                          74.5%,12299,17107,10038.0,0.08,1.23,0.59,72.3,0.08,2.4,0.09,654.0,1.13,0
huNter-,23.0,93.9,76.2%,1.27,G2,113,90,                          1.11,                          0.72,                          49.2%,                          52,                          0.66,                          72.6%,33273,43342,28744.0,0.14,1.16,0.66,84.0,0.1,5.6,0.11,1641.0,1.12,0
m0NESY,7.0,69.3,71.3%,1.05,G2,88,81,                          1.16,                          0.74,                          39.0%,                          52,                          0.60,                          71.4%,8866,11467,6829.0,0.09,1.3,0.6,78.6,0.09,2.7,0.1,437.0,1.22,0
NiKo,-11.0,81.6,62.3%,1.03,G2,85,96,                          1.23,                          0.77,                          55.8%,                          52,                          0.61,                          74.2%,37918,47832,31775.0,0.13,1.19,0.66,85.8,0.08,4.7,0.1,1799.0,1.15,0
Aleksib,-33.0,57.8,73.8%,0.81,G2,54,87,                          0.97,                          0.56,                          41.6%,                          40,                          0.63,                          70.5%,20062,31824,20758.0,0.16,0.97,0.65,73.4,0.11,8.3,0.09,1198.0,0.95,0
JACKZ,-25.0,64.9,57.4%,0.78,G2,72,97,                          0.97,                          0.60,                          63.1%,                          25,                          0.66,                          69.3%,21316,32172,21661.0,0.13,0.98,0.67,73.0,0.1,3.3,0.1,1208.0,0.98,0
Twistzz,15.0,90.6,71.3%,1.22,FaZe,97,82,                          1.10,                          0.70,                          58.4%,                          28,                          0.61,                          73.2%,30120,41428,25749.0,0.12,1.17,0.62,76.6,0.1,3.6,0.12,1572.0,1.11,1
ropz,14.0,78.4,73.0%,1.16,FaZe,96,82,                          1.13,                          0.75,                          59.5%,                          28,                          0.63,                          72.0%,25899,35005,21473.0,0.1,1.21,0.61,78.6,0.07,2.6,0.09,1318.0,1.15,1
broky,15.0,78.7,68.9%,1.14,FaZe,95,80,                          1.06,                          0.65,                          31.2%,                          28,                          0.59,                          71.0%,16746,23792,14486.0,0.1,1.16,0.61,73.0,0.1,3.5,0.11,889.0,1.1,1
jks,0.0,80.1,75.4%,1.12,FaZe,84,84,                          1.02,                          0.61,                          57.2%,                          52,                          0.61,                          74.7%,24688,35420,22168.0,0.13,1.11,0.63,76.7,0.09,5.3,0.11,1355.0,1.06,1
karrigan,-9.0,69.4,69.7%,0.97,FaZe,77,86,                          0.86,                          0.53,                          45.0%,                          28,                          0.68,                          65.1%,35661,57886,40036.0,0.13,0.89,0.69,68.2,0.09,5.1,0.07,2201.0,0.9,1
TeSeS,-6.0,80.7,62.5%,0.97,Heroic,34,40,                          1.06,                          0.67,                          51.2%,                          33,                          0.66,                          73.2%,19410,27408,18287.0,0.14,1.06,0.67,77.6,0.11,4.8,0.12,1024.0,1.1,0
stavn,-14.0,68.1,56.2%,0.75,Heroic,25,39,                          1.16,                          0.75,                          45.2%,                          33,                          0.67,                          73.5%,25415,34852,23485.0,0.14,1.08,0.67,81.2,0.1,4.5,0.11,1306.0,1.12,0
cadiaN,-14.0,53.0,58.3%,0.73,Heroic,22,36,                          1.07,                          0.66,                          29.5%,                          33,                          0.59,                          70.1%,30516,44161,27559.0,0.11,1.11,0.62,73.1,0.09,5.0,0.08,1667.0,1.04,0
refrezh,-17.0,44.6,54.2%,0.59,Heroic,20,37,                          1.05,                          0.67,                          47.2%,                          91,                          0.67,                          71.2%,22375,32435,21250.0,0.12,1.05,0.66,74.3,0.1,3.6,0.1,1209.0,1.07,0
sjuush,-19.0,52.8,56.2%,0.57,Heroic,19,38,                          1.08,                          0.67,                          48.9%,                          33,                          0.64,                          73.7%,18402,26995,17311.0,0.13,1.06,0.64,75.3,0.11,4.1,0.11,1017.0,1.08,0
broky,29.0,86.4,89.6%,1.58,FaZe,46,17,                          1.06,                          0.65,                          31.2%,                          28,                          0.59,                          71.0%,16746,23792,14486.0,0.1,1.16,0.61,73.0,0.1,3.5,0.11,889.0,1.1,1
ropz,21.0,86.8,83.3%,1.46,FaZe,42,21,                          1.13,                          0.75,                          59.5%,                          28,                          0.63,                          72.0%,25899,35005,21473.0,0.1,1.21,0.61,78.6,0.07,2.6,0.09,1318.0,1.15,1
karrigan,8.0,90.2,77.1%,1.3,FaZe,38,30,                          0.86,                          0.53,                          45.0%,                          28,                          0.68,                          65.1%,35661,57886,40036.0,0.13,0.89,0.69,68.2,0.09,5.1,0.07,2201.0,0.9,1
jks,5.0,74.0,85.4%,1.2,FaZe,33,28,                          1.02,                          0.61,                          57.2%,                          52,                          0.61,                          74.7%,24688,35420,22168.0,0.13,1.11,0.63,76.7,0.09,5.3,0.11,1355.0,1.06,1
Twistzz,4.0,71.1,81.2%,1.15,FaZe,29,25,                          1.10,                          0.70,                          58.4%,                          28,                          0.61,                          73.2%,30120,41428,25749.0,0.12,1.17,0.62,76.6,0.1,3.6,0.12,1572.0,1.11,1
s1mple,11.0,83.2,68.4%,1.2,Natus Vincere,48,37,                          1.16,                          0.75,                          40.4%,                          40,                          0.61,                          72.3%,38676,45687,28996.0,0.1,1.33,0.63,85.4,0.08,2.5,0.11,1724.0,1.24,0
b1t,-3.0,61.8,64.9%,0.94,Natus Vincere,33,36,                          1.09,                          0.68,                          61.9%,                          40,                          0.62,                          72.1%,11558,16631,10472.0,0.11,1.1,0.63,75.2,0.09,4.2,0.1,625.0,1.11,0
Perfecto,-3.0,64.4,73.7%,0.93,Natus Vincere,30,33,                          1.08,                          0.66,                          42.3%,                          41,                          0.60,                          75.3%,14575,23258,14015.0,0.13,1.04,0.6,70.2,0.09,4.8,0.09,876.0,1.04,0
Boombl4,-9.0,63.2,66.7%,0.89,Natus Vincere,29,38,                          1.07,                          0.67,                          38.2%,                          59,                          0.68,                          71.2%,22092,33350,22777.0,0.14,0.97,0.68,75.6,0.09,4.8,0.08,1253.0,1.04,0
electroNic,-8.0,56.8,66.7%,0.85,Natus Vincere,28,36,                          1.04,                          0.66,                          47.1%,                          41,                          0.71,                          70.9%,28788,38959,25716.0,0.14,1.12,0.66,82.4,0.09,4.6,0.1,1472.0,1.08,0
huNter-,13.0,81.2,78.9%,1.26,G2,47,34,                          1.11,                          0.72,                          49.2%,                          52,                          0.66,                          72.6%,33273,43342,28744.0,0.14,1.16,0.66,84.0,0.1,5.6,0.11,1641.0,1.12,1
m0NESY,8.0,78.9,64.9%,1.17,G2,41,33,                          1.16,                          0.74,                          39.0%,                          52,                          0.60,                          71.4%,8866,11467,6829.0,0.09,1.3,0.6,78.6,0.09,2.7,0.1,437.0,1.22,1
NiKo,3.0,84.4,66.7%,1.11,G2,40,37,                          1.23,                          0.77,                          55.8%,                          52,                          0.61,                          74.2%,37918,47832,31775.0,0.13,1.19,0.66,85.8,0.08,4.7,0.1,1799.0,1.15,1
JACKZ,-2.0,57.4,75.4%,0.94,G2,31,33,                          0.97,                          0.60,                          63.1%,                          25,                          0.66,                          69.3%,21316,32172,21661.0,0.13,0.98,0.67,73.0,0.1,3.3,0.1,1208.0,0.98,1
Aleksib,-13.0,45.9,66.7%,0.79,G2,21,34,                          0.97,                          0.56,                          41.6%,                          40,                          0.63,                          70.5%,20062,31824,20758.0,0.16,0.97,0.65,73.4,0.11,8.3,0.09,1198.0,0.95,1
sh1ro,3.0,83.3,75.0%,1.18,Gambit,33,30,                          1.19,                          0.76,                          30.4%,                          41,                          0.58,                          74.5%,22118,28583,15313.0,0.11,1.44,0.54,78.6,0.08,3.9,0.11,1071.0,1.26,0
Ax1Le,-4.0,73.6,64.6%,0.99,Gambit,29,33,                          1.10,                          0.71,                          46.4%,                          30,                          0.67,                          72.8%,22035,30182,18973.0,0.14,1.16,0.63,80.6,0.09,5.3,0.09,1133.0,1.16,0
HObbit,-14.0,66.1,56.2%,0.72,Gambit,24,38,                          0.99,                          0.61,                          45.5%,                          41,                          0.67,                          70.2%,26021,36328,23716.0,0.14,1.1,0.65,79.6,0.08,5.6,0.08,1370.0,1.06,0
interz,-11.0,49.2,58.3%,0.68,Gambit,19,30,                          1.04,                          0.63,                          45.7%,                          25,                          0.59,                          75.6%,14322,24855,14454.0,0.12,0.99,0.58,62.9,0.1,5.1,0.1,932.0,0.99,0
nafany,-19.0,40.3,54.2%,0.57,Gambit,20,39,                          0.99,                          0.64,                          56.4%,                          40,                          0.71,                          69.0%,18629,28539,19855.0,0.14,0.94,0.7,73.5,0.1,4.9,0.08,1071.0,1.02,0
broky,17.0,84.2,81.2%,1.39,FaZe,39,22,                          1.06,                          0.65,                          31.2%,                          28,                          0.59,                          71.0%,16746,23792,14486.0,0.1,1.16,0.61,73.0,0.1,3.5,0.11,889.0,1.1,1
ropz,16.0,72.7,77.1%,1.34,FaZe,39,23,                          1.13,                          0.75,                          59.5%,                          28,                          0.63,                          72.0%,25899,35005,21473.0,0.1,1.21,0.61,78.6,0.07,2.6,0.09,1318.0,1.15,1
jks,8.0,74.7,70.8%,1.2,FaZe,36,28,                          1.02,                          0.61,                          57.2%,                          52,                          0.61,                          74.7%,24688,35420,22168.0,0.13,1.11,0.63,76.7,0.09,5.3,0.11,1355.0,1.06,1
Twistzz,1.0,67.9,83.3%,1.07,FaZe,27,26,                          1.10,                          0.70,                          58.4%,                          28,                          0.61,                          73.2%,30120,41428,25749.0,0.12,1.17,0.62,76.6,0.1,3.6,0.12,1572.0,1.11,1
karrigan,0.0,68.1,66.7%,1.05,FaZe,29,29,                          0.86,                          0.53,                          45.0%,                          28,                          0.68,                          65.1%,35661,57886,40036.0,0.13,0.89,0.69,68.2,0.09,5.1,0.07,2201.0,0.9,1
Jame,10.0,81.4,80.9%,1.22,Virtus.pro,53,43,                          1.19,                          0.69,                          25.9%,                          52,                          0.50,                          77.5%,25256,35436,19252.0,0.09,1.31,0.54,72.4,0.07,4.0,0.09,1335.0,1.17,0
FL1T,-3.0,76.5,66.2%,1.08,Virtus.pro,45,48,                          1.09,                          0.64,                          45.3%,                          52,                          0.63,                          70.2%,27368,37581,24271.0,0.13,1.13,0.65,80.3,0.09,4.6,0.1,1395.0,1.13,0
YEKINDAR,-4.0,63.1,69.1%,0.92,Virtus.pro,41,45,                          1.02,                          0.63,                          57.0%,                          42,                          0.69,                          66.9%,25478,34408,23948.0,0.13,1.06,0.7,82.3,0.09,4.1,0.09,1287.0,1.13,0
buster,-17.0,60.2,63.2%,0.8,Virtus.pro,35,52,                          0.85,                          0.49,                          41.7%,                          11,                          0.63,                          67.4%,24271,36219,22444.0,0.12,1.08,0.62,72.7,0.08,3.7,0.09,1365.0,1.07,0
Qikert,-10.0,58.0,61.8%,0.77,Virtus.pro,38,48,                          1.01,                          0.60,                          54.5%,                          47,                          0.62,                          72.0%,25681,37342,23906.0,0.13,1.07,0.64,76.3,0.1,4.9,0.09,1410.0,1.1,0
